可回看01,#genre#
安徽卫视,http://111.48.34.237/PLTV/88888888/224/3221230505/1.m3u8
东南卫视,http://111.48.34.237/PLTV/88888888/224/3221230507/1.m3u8
河南卫视,ttp://111.48.34.237/PLTV/88888888/224/3221230511/1.m3u8
江西卫视,http://111.48.34.237/PLTV/88888888/224/3221230519/1.m3u8
甘肃卫视,http://111.48.34.237/PLTV/88888888/224/3221230521/1.m3u8


湖南卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226117/1.m3u8
青海卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226164/1.m3u8
内蒙古卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226166/1.m3u8
新疆卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226168/1.m3u8
西藏卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226169/1.m3u8
兵团卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226171/1.m3u8
宁夏卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226173/1.m3u8
山西卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226174/1.m3u8
重庆卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226243/1.m3u8
贵州卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226245/1.m3u8
海南卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226246/1.m3u8
河北卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226247/1.m3u8
四川卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226252/1.m3u8
云南卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226566/1.m3u8
山东教育卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226652/1.m3u8
三沙卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226663/1.m3u8
广西卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226570/1.m3u8
吉林卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226574/1.m3u8
东方卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226674/1.m3u8
江苏卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226682/1.m3u8
东南卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226692/1.m3u8
天津卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226693/1.m3u8
山东卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226695/1.m3u8
安徽卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226696/1.m3u8
河南卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226697/1.m3u8
广东卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226700/1.m3u8
浙江卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226701/1.m3u8
江西卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226702/1.m3u8
深圳卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226703/1.m3u8
陕西卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226708/1.m3u8
甘肃卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226721/1.m3u8
黑龙江卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226724/1.m3u8
辽宁卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226718/1.m3u8
梨园频道,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226727/1.m3u8
欢笑剧场4K,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226729/1.m3u8
北京卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226900/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EcYPi33WFyhvd6SjmqUKhJg%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
江苏卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226897/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E0BmO6uHF7WFoTed__Xr3NQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
浙江卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226899/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7ETYfTgTra_pUx2cPrgZ_BDw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
东方卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226898/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E0uh4lyjjBCCN7TCq21vSIQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
广东卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226961/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E2MGyx659D_aaDPP0qt3NgA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
黑龙江卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226965/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E7UiKL56-L86ihmTWaZ6csw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
深圳卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226959/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EGrVNEZREjuNVKiTJo2mtwg%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
天津卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226954/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Eaf3wyULP1h575eM_4ByMDg%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
山东卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226957/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EjW26v5VaHGy1jQuIA-4EbA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
湖北卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226952/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EREB40lnZnCEwjRy7LZuhIQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
贵州卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227012/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EnqBF03rFwPucF8ODtWxLQQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
江西卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226956/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Ei6ZIpVizXlewg-YfGvH8dA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
